,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,09450,GAM-,3690-2,PLAY,Step Right Up 3,"Visually identify two notes as a step up, step down or skip up and skip down ",,3690,T,,,,,,L,,
,09500,GAM-,3690-3,QUIZ,Step Right Up 3,"Visually identify two notes as a step up, step down or skip up and skip down ",,3690,T,,,,,,L,,
,12050,GAM-,3690-5,REVIEW,Step Right Up 3,"Visually identify two notes as a step up, step down or skip up and skip down ",,3690,T,,,,,,L,,
,31300,GAM-,3700-1,LEARN,Sticky Stockings 1,"Hear & identify 2nds, 3rds, 4ths & 5ths  - same roots",,3700,T,,,,,,L,,
,31350,GAM-,3700-2,PLAY,Sticky Stockings 1,"Hear & identify 2nds, 3rds, 4ths & 5ths  - same roots",,3700,T,,,,,,L,,
,31400,GAM-,3700-3,QUIZ,Sticky Stockings 1,"Hear & identify 2nds, 3rds, 4ths & 5ths  - same roots",,3700,T,,,,,,L,,
,34350,GAM-,3700-5,REVIEW,Sticky Stockings 1,"Hear & identify 2nds, 3rds, 4ths & 5ths  - same roots",,3700,T,,,,,,L,,
,66000,GAM-,3710-1,LEARN,Sticky Stockings 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - same roots",,3710,T,,,,,,L,,
,66050,GAM-,3710-2,PLAY,Sticky Stockings 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - same roots",,3710,T,,,,,,L,,
,66100,GAM-,3710-3,QUIZ,Sticky Stockings 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - same roots",,3710,T,,,,,,L,,
,72950,GAM-,3710-5,REVIEW,Sticky Stockings 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - same roots",,3710,T,,,,,,L,,
,00300,GAM-,3720-1,LEARN,Storm Chasers 1,Aurally identify Up and Down,,3720,T,,,,,,L,,
,00350,GAM-,3720-2,PLAY,Storm Chasers 1,Aurally identify Up and Down,,3720,T,,,,,,L,,
,00400,GAM-,3720-3,QUIZ,Storm Chasers 1,Aurally identify Up and Down,,3720,T,,,,,,L,,
,03350,GAM-,3720-5,REVIEW,Storm Chasers 1,Aurally identify Up and Down,,3720,T,,,,,,L,,
,03750,GAM-,3730-1,LEARN,Storm Chasers 2,"Up, Down, Same",,3730,T,,,,,,L,,
,03800,GAM-,3730-2,PLAY,Storm Chasers 2,"Up, Down, Same",,3730,T,,,,,,L,,
,03850,GAM-,3730-3,QUIZ,Storm Chasers 2,"Up, Down, Same",,3730,T,,,,,,L,,
,05300,GAM-,3730-5,REVIEW,Storm Chasers 2,"Up, Down, Same",,3730,T,,,,,,L,,
,15350,GAM-,3740-1,LEARN,Storm Chasers 3,Aurally identify whether a pitch pattern goes up or down by step or up or down by skip,,3740,T,,,,,,L,,
,15400,GAM-,3740-2,PLAY,Storm Chasers 3,Aurally identify whether a pitch pattern goes up or down by step or up or down by skip,,3740,T,,,,,,L,,
,15450,GAM-,3740-3,QUIZ,Storm Chasers 3,Aurally identify whether a pitch pattern goes up or down by step or up or down by skip,,3740,T,,,,,,L,,
,17400,GAM-,3740-5,REVIEW,Storm Chasers 3,Aurally identify whether a pitch pattern goes up or down by step or up or down by skip,,3740,T,,,,,,L,,
,35400,GAM-,3760-1,LEARN,MIDI Super Monkey Intervals 1,"Hear, then play 2nds through 5ths on a MIDI keyboard - C Major pentascale",,3760,T,M,,,,,L,,
,35450,GAM-,3760-2,PLAY,MIDI Super Monkey Intervals 1,"Hear, then play 2nds through 5ths on a MIDI keyboard - C Major pentascale",,3760,T,M,,,,,L,,
,35500,GAM-,3760-3,QUIZ,MIDI Super Monkey Intervals 1,"Hear, then play 2nds through 5ths on a MIDI keyboard - C Major pentascale",,3760,T,M,,,,,L,,
,39950,GAM-,3760-5,REVIEW,MIDI Super Monkey Intervals 1,"Hear, then play 2nds through 5ths on a MIDI keyboard - C Major pentascale",,3760,T,M,,,,,L,,
,42850,GAM-,3780-1,LEARN,MIDI Super Monkey Intervals 2,"Hear, then play 2nds through 5ths on a MIDI keyboard - bass G Major pentascale",,3780,T,M,,,,,L,,
,42900,GAM-,3780-2,PLAY,MIDI Super Monkey Intervals 2,"Hear, then play 2nds through 5ths on a MIDI keyboard - bass G Major pentascale",,3780,T,M,,,,,L,,
,42950,GAM-,3780-3,QUIZ,MIDI Super Monkey Intervals 2,"Hear, then play 2nds through 5ths on a MIDI keyboard - bass G Major pentascale",,3780,T,M,,,,,L,,
,46950,GAM-,3780-5,REVIEW,MIDI Super Monkey Intervals 2,"Hear, then play 2nds through 5ths on a MIDI keyboard - bass G Major pentascale",,3780,T,M,,,,,L,,
,07600,GAM-,3830-1,LEARN,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,3830,T,,,,,,L,,
,07650,GAM-,3830-2,PLAY,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,3830,T,,,,,,L,,
,07700,GAM-,3830-3,QUIZ,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,3830,T,,,,,,L,,
,08850,GAM-,3830-5,REVIEW,Time Signature Blimp 1,See a melody and identify the time signature--3-4 and 4-4,,3830,T,,,,,,L,,
,25450,GAM-,3840-1,LEARN,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,25500,GAM-,3840-2,PLAY,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,25550,GAM-,3840-3,QUIZ,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,29800,GAM-,3840-5,REVIEW,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,30500,GAM-,3840-1,LEARN,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,30550,GAM-,3840-2,PLAY,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,30600,GAM-,3840-3,QUIZ,Time Signature Blimp 2,"See a melody and identify the time signature--3-4, 4-4, 5-4 and 6-4",,3840,T,,,,,,L,,
,43750,GAM-,3920-1,LEARN,Tumble Triads 1,Aurally identify chord quality:  Major and minor,,3920,T,,,,,,L,,
,43800,GAM-,3920-2,PLAY,Tumble Triads 1,Aurally identify chord quality:  Major and minor,,3920,T,,,,,,L,,
,43850,GAM-,3920-3,QUIZ,Tumble Triads 1,Aurally identify chord quality:  Major and minor,,3920,T,,,,,,L,,
,46800,GAM-,3920-5,REVIEW,Tumble Triads 1,Aurally identify chord quality:  Major and minor,,3920,T,,,,,,L,,
,09750,GAM-,3970-1,LEARN,Undersea Intervals 1,Name Intervals - steps & skips,,3970,T,,,,,,L,,
,09800,GAM-,3970-2,PLAY,Undersea Intervals 1,Name Intervals - steps & skips,,3970,T,,,,,,L,,
,09850,GAM-,3970-3,QUIZ,Undersea Intervals 1,Name Intervals - steps & skips,,3970,T,,,,,,L,,
,20050,GAM-,3980-2,PLAY,Undersea Intervals 2,Name Intervals - 2nds & 3rds,,3980,T,,,,,,L,,
,20100,GAM-,3980-3,QUIZ,Undersea Intervals 2,Name Intervals - 2nds & 3rds,,3980,T,,,,,,L,,
,23200,GAM-,3980-5,REVIEW,Undersea Intervals 2,Name Intervals - 2nds & 3rds,,3980,T,,,,,,L,,
,37650,GAM-,3990-1,LEARN,Underwater Clef Hanger,See a note on a line or space. Which clef makes it the displayed letter name?,,3990,T,,,,,,L,,
,37700,GAM-,3990-2,PLAY,Underwater Clef Hanger,See a note on a line or space. Which clef makes it the displayed letter name?,,3990,T,,,,,,L,,
,37750,GAM-,3990-3,QUIZ,Underwater Clef Hanger,See a note on a line or space. Which clef makes it the displayed letter name?,,3990,T,,,,,,L,,
,42800,GAM-,3990-5,REVIEW,Underwater Clef Hanger,See a note on a line or space. Which clef makes it the displayed letter name?,,3990,T,,,,,,L,,
,20150,GAM-,4010-1,LEARN,Will Work for Peanuts 1,"Visually identify 2nds, 3rds, 4ths, & 5ths on the keyboard",,4010,T,,,,,,L,,
,20200,GAM-,4010-2,PLAY,Will Work for Peanuts 1,"Visually identify 2nds, 3rds, 4ths, & 5ths on the keyboard",,4010,T,,,,,,L,,
,20250,GAM-,4010-3,QUIZ,Will Work for Peanuts 1,"Visually identify 2nds, 3rds, 4ths, & 5ths on the keyboard",,4010,T,,,,,,L,,
,22100,GAM-,4010-5,REVIEW,Will Work for Peanuts 1,"Visually identify 2nds, 3rds, 4ths, & 5ths on the keyboard",,4010,T,,,,,,L,,
,42500,GAM-,4020-1,LEARN,Will Work for Peanuts 2,"Visually identify 5ths, 6ths, 7ths and octaves on the keyboard",,4020,T,,,,,,L,,
,42550,GAM-,4020-2,PLAY,Will Work for Peanuts 2,"Visually identify 5ths, 6ths, 7ths and octaves on the keyboard",,4020,T,,,,,,L,,
,42600,GAM-,4020-3,QUIZ,Will Work for Peanuts 2,"Visually identify 5ths, 6ths, 7ths and octaves on the keyboard",,4020,T,,,,,,L,,
,44650,GAM-,4020-5,REVIEW,Will Work for Peanuts 2,"Visually identify 5ths, 6ths, 7ths and octaves on the keyboard",,4020,T,,,,,,L,,
,,,,,,,,,,,,,,,,,
LIST 3,"Levels 3, 4, 5, 6",,,"Levels 3, 4, 5, 6",,"Levels 3, 4, 5, 6",,,T,,,,,,L,,
,84350,GAM-,0440-1,LEARN,Circle of Fifths 1,Learn the sharp circle and the flat circle separately,,440,T,,,,,,L,,
,84400,GAM-,0440-2,PLAY,Circle of Fifths 1,Learn the sharp circle and the flat circle separately,,440,T,,,,,,L,,
,84450,GAM-,0440-3,QUIZ,Circle of Fifths 1,Learn the sharp circle and the flat circle separately,,440,T,,,,,,L,,
,87050,GAM-,0440-5,REVIEW,Circle of Fifths 1,Learn the sharp circle and the flat circle separately,,440,T,,,,,,L,,
,85100,GAM-,0450-1,LEARN,Circle of Fifths 2,Learn the entire circle of 5ths,,450,T,,,,,,L,,
,85150,GAM-,0450-2,PLAY,Circle of Fifths 2,Learn the entire circle of 5ths,,450,T,,,,,,L,,
,85200,GAM-,0450-3,QUIZ,Circle of Fifths 2,Learn the entire circle of 5ths,,450,T,,,,,,L,,
,88850,GAM-,0450-5,REVIEW,Circle of Fifths 2,Learn the entire circle of 5ths,,450,T,,,,,,L,,
,82850,GAM-,0470-1,LEARN,MIDI Climbing 7ths 1,"Play M7, Dom7, dim7 chords on the MIDI keybd",,470,T,M,,,,,L,,
,82900,GAM-,0470-2,PLAY,MIDI Climbing 7ths 1,"Play M7, Dom7, dim7 chords on the MIDI keybd",,470,T,M,,,,,L,,
,82950,GAM-,0470-3,QUIZ,MIDI Climbing 7ths 1,"Play M7, Dom7, dim7 chords on the MIDI keybd",,470,T,M,,,,,L,,
,89800,GAM-,0470-5,REVIEW,MIDI Climbing 7ths 1,"Play M7, Dom7, dim7 chords on the MIDI keybd",,470,T,M,,,,,L,,
,91050,GAM-,0490-1,LEARN,MIDI Climbing 7ths 2,"Play m7, half-dim7, Dom7 chords on the MIDI keybd",,490,T,M,,,,,L,,
,91100,GAM-,0490-2,PLAY,MIDI Climbing 7ths 2,"Play m7, half-dim7, Dom7 chords on the MIDI keybd",,490,T,M,,,,,L,,
,91150,GAM-,0490-3,QUIZ,MIDI Climbing 7ths 2,"Play m7, half-dim7, Dom7 chords on the MIDI keybd",,490,T,M,,,,,L,,
,91250,GAM-,0490-5,REVIEW,MIDI Climbing 7ths 2,"Play m7, half-dim7, Dom7 chords on the MIDI keybd",,490,T,M,,,,,L,,
,49050,GAM-,0540-1,LEARN,Climbing Higher 1,Hear and play back 2nds thru octaves-same root-Major scale,,540,T,,,,,,L,,
,49100,GAM-,0540-2,PLAY,Climbing Higher 1,Hear and play back 2nds thru octaves-same root-Major scale,,540,T,,,,,,L,,
,49150,GAM-,0540-3,QUIZ,Climbing Higher 1,Hear and play back 2nds thru octaves-same root-Major scale,,540,T,,,,,,L,,
,55000,GAM-,0540-5,REVIEW,Climbing Higher 1,Hear and play back 2nds thru octaves-same root-Major scale,,540,T,,,,,,L,,
,67400,GAM-,0550-1,LEARN,Climbing Higher 2,Hear and play back 2nds thru octaves-same root-natural minor scale,,550,T,,,,,,L,,
,67450,GAM-,0550-2,PLAY,Climbing Higher 2,Hear and play back 2nds thru octaves-same root-natural minor scale,,550,T,,,,,,L,,
,67500,GAM-,0550-3,QUIZ,Climbing Higher 2,Hear and play back 2nds thru octaves-same root-natural minor scale,,550,T,,,,,,L,,
,70850,GAM-,0550-5,REVIEW,Climbing Higher 2,Hear and play back 2nds thru octaves-same root-natural minor scale,,550,T,,,,,,L,,
,74100,GAM-,0560-1,LEARN,Climbing Higher 3,Hear and play back 2nds thru octaves-same root-harmonic minor scale,,560,T,,,,,,L,,
,74150,GAM-,0560-2,PLAY,Climbing Higher 3,Hear and play back 2nds thru octaves-same root-harmonic minor scale,,560,T,,,,,,L,,
,74200,GAM-,0560-3,QUIZ,Climbing Higher 3,Hear and play back 2nds thru octaves-same root-harmonic minor scale,,560,T,,,,,,L,,
,77150,GAM-,0560-5,REVIEW,Climbing Higher 3,Hear and play back 2nds thru octaves-same root-harmonic minor scale,,560,T,,,,,,L,,
,62400,GAM-,0590-1,LEARN,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,62450,GAM-,0590-2,PLAY,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,62500,GAM-,0590-3,QUIZ,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,70150,GAM-,0590-1,LEARN,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,70200,GAM-,0590-2,PLAY,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,70250,GAM-,0590-3,QUIZ,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,75000,GAM-,0590-5,REVIEW,Downhill Rhythms 1,See two rhythms.  Which one is played?  Triplets,,590,T,,,,,,L,,
,71700,GAM-,0600-1,LEARN,Downhill Rhythms 2,Which rhythm do you hear?  16th-note patterns,,600,T,,,,,,L,,
,71750,GAM-,0600-2,PLAY,Downhill Rhythms 2,Which rhythm do you hear?  16th-note patterns,,600,T,,,,,,L,,
,71800,GAM-,0600-3,QUIZ,Downhill Rhythms 2,Which rhythm do you hear?  16th-note patterns,,600,T,,,,,,L,,
,78300,GAM-,0600-5,REVIEW,Downhill Rhythms 2,Which rhythm do you hear?  16th-note patterns,,600,T,,,,,,L,,
,55200,GAM-,0610-1,LEARN,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,55250,GAM-,0610-2,PLAY,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,55300,GAM-,0610-3,QUIZ,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,58800,GAM-,0610-5,REVIEW,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,74700,GAM-,0610-1,LEARN,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,74750,GAM-,0610-2,PLAY,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,74800,GAM-,0610-3,QUIZ,Downhill Rhythms 3,"Which rhythm do you hear?  Dotted quarter-eighth, single eighth notes & rests",,610,T,,,,,,L,,
,59350,GAM-,0620-1,LEARN,Downhill Rhythms 4,Which rhythm do you hear?  Patterns in 3-8 meter,,620,T,,,,,,L,,
,59400,GAM-,0620-2,PLAY,Downhill Rhythms 4,Which rhythm do you hear?  Patterns in 3-8 meter,,620,T,,,,,,L,,
,59450,GAM-,0620-3,QUIZ,Downhill Rhythms 4,Which rhythm do you hear?  Patterns in 3-8 meter,,620,T,,,,,,L,,
,63450,GAM-,0620-5,REVIEW,Downhill Rhythms 4,Which rhythm do you hear?  Patterns in 3-8 meter,,620,T,,,,,,L,,
,60900,GAM-,0630-1,LEARN,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,60950,GAM-,0630-2,PLAY,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,61000,GAM-,0630-3,QUIZ,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,64000,GAM-,0630-5,REVIEW,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,64800,GAM-,0630-1,LEARN,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,64850,GAM-,0630-2,PLAY,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,64900,GAM-,0630-3,QUIZ,Downhill Rhythms 5,Which rhythm do you hear?  Patterns in 6-8 meter,,630,T,,,,,,L,,
,66150,GAM-,0640-1,LEARN,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,66200,GAM-,0640-2,PLAY,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,66250,GAM-,0640-3,QUIZ,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,69200,GAM-,0640-5,REVIEW,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,80000,GAM-,0640-1,LEARN,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,80050,GAM-,0640-2,PLAY,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,80100,GAM-,0640-3,QUIZ,Evergreen Scales 3,"Aurally identify scales as Major, natural minor & harmonic minor",,640,T,,,,,,L,,
,49350,GAM-,0650-1,LEARN,Falling Chords 1,Visually identify tonic and dominant chords in C and G Major,,650,T,,,,,,L,,
,49400,GAM-,0650-2,PLAY,Falling Chords 1,Visually identify tonic and dominant chords in C and G Major,,650,T,,,,,,L,,
,49450,GAM-,0650-3,QUIZ,Falling Chords 1,Visually identify tonic and dominant chords in C and G Major,,650,T,,,,,,L,,
,51950,GAM-,0650-5,REVIEW,Falling Chords 1,Visually identify tonic and dominant chords in C and G Major,,650,T,,,,,,L,,
,52450,GAM-,0660-1,LEARN,Falling Chords 2,"Visually identify I, IV and V chords in C and G Major",,660,T,,,,,,L,,
,52500,GAM-,0660-2,PLAY,Falling Chords 2,"Visually identify I, IV and V chords in C and G Major",,660,T,,,,,,L,,
,52550,GAM-,0660-3,QUIZ,Falling Chords 2,"Visually identify I, IV and V chords in C and G Major",,660,T,,,,,,L,,
,56200,GAM-,0660-5,REVIEW,Falling Chords 2,"Visually identify I, IV and V chords in C and G Major",,660,T,,,,,,L,,
,61250,GAM-,0670-1,LEARN,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,61300,GAM-,0670-2,PLAY,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,61350,GAM-,0670-3,QUIZ,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,69950,GAM-,0670-1,LEARN,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,70000,GAM-,0670-2,PLAY,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,70050,GAM-,0670-3,QUIZ,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,75900,GAM-,0670-5,REVIEW,Falling Chords 3,"Visually identify tonic, subdominant & dominant chords in C, G, D & F Major",,670,T,,,,,,L,,
,78400,GAM-,0680-1,LEARN,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,78450,GAM-,0680-2,PLAY,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,78500,GAM-,0680-3,QUIZ,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,80600,GAM-,0680-1,LEARN,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,80650,GAM-,0680-2,PLAY,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,80700,GAM-,0680-3,QUIZ,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,91650,GAM-,0680-1,LEARN,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,91700,GAM-,0680-2,PLAY,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,91750,GAM-,0680-3,QUIZ,Falling Chords 4,"Visually identify tonic, subdominant & dominant chords in G, D, A & E Major",,680,T,,,,,,L,,
,83650,GAM-,0690-5,REVIEW,Falling Chords 5,"Visually identify tonic, subdominant & dominant chords in F, Bb, Eb & Ab Major",,690,T,,,,,,L,,
,88050,GAM-,0690-1,LEARN,Falling Chords 5,"Visually identify tonic, subdominant & dominant chords in F, Bb, Eb & Ab Major",,690,T,,,,,,L,,
,88100,GAM-,0690-2,PLAY,Falling Chords 5,"Visually identify tonic, subdominant & dominant chords in F, Bb, Eb & Ab Major",,690,T,,,,,,L,,
,88150,GAM-,0690-3,QUIZ,Falling Chords 5,"Visually identify tonic, subdominant & dominant chords in F, Bb, Eb & Ab Major",,690,T,,,,,,L,,
,90650,GAM-,0690-5,REVIEW,Falling Chords 5,"Visually identify tonic, subdominant & dominant chords in F, Bb, Eb & Ab Major",,690,T,,,,,,L,,
,75100,GAM-,0880-1,LEARN,Floating Inversions 1,Name the Major triad in root position and 1st inversion,,880,T,,,,,,L,,
,75150,GAM-,0880-2,PLAY,Floating Inversions 1,Name the Major triad in root position and 1st inversion,,880,T,,,,,,L,,
,75200,GAM-,0880-3,QUIZ,Floating Inversions 1,Name the Major triad in root position and 1st inversion,,880,T,,,,,,L,,
,77200,GAM-,0880-5,REVIEW,Floating Inversions 1,Name the Major triad in root position and 1st inversion,,880,T,,,,,,L,,
,75750,GAM-,0890-1,LEARN,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,75800,GAM-,0890-2,PLAY,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,75850,GAM-,0890-3,QUIZ,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,79350,GAM-,0890-5,REVIEW,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,81800,GAM-,0890-1,LEARN,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,81850,GAM-,0890-2,PLAY,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,81900,GAM-,0890-3,QUIZ,Floating Inversions 2,Name the Major triad in root position and 2nd inversion,,890,T,,,,,,L,,
,86400,GAM-,0900-1,LEARN,Floating Inversions 3,Name the root of a triad in root position and 1st and 2nd inversions,,900,T,,,,,,L,,
,86450,GAM-,0900-2,PLAY,Floating Inversions 3,Name the root of a triad in root position and 1st and 2nd inversions,,900,T,,,,,,L,,
